"id","title","years","duration","rating","people_rating","critic_rating","votes"
358,"Dungeons & Dragons: Honour Among Thieves","2023","134","12A","7.3","72","204,750"
359,"Night Swim","2024","116","PG-13",NULL,NULL,"N/A"
360,"Inception","2010","148","12A","8.8","74","2,494,743"
361,"Avatar: The Way of Water","2022","192","12A","7.6","67","471,101"
362,"L.A. Confidential","1997","138","18","8.2","91","606,574"
363,"The Family Plan","2023","118","12",NULL,NULL,"N/A"
364,"The Family Stone","2005","103","PG","6.3","56","72,810"
365,"The Oath","2023","104","PG-13","3.3",NULL,"194"
366,"Salò, or the 120 Days of Sodom","1975","117","Rejected","5.8",NULL,"64,503"
367,"Godzilla: King of the Monsters","2019","132","12A","6.0","48","198,162"
368,"The Jester","2023","90","15","4.1",NULL,"905"
369,"Black Swan","2010","108","15","8.0","79","808,024"
370,"Top Gun: Maverick","2022","130","12A","8.3","78","645,834"
371,"She's the Man","2006","105","12A","6.4","45","171,798"
372,"Babylon","2022","189","18","7.1","61","154,374"
373,"Inglourious Basterds","2009","153","18","8.4","69","1,544,723"
374,"Fair Play","2023","113","18","6.4","73","29,196"
375,"Nyad","2023","121","15","7.1","64","12,725"
376,"Joker 2","2024","N/A",NULL,NULL,NULL,"N/A"
377,"How the Gringo Stole Christmas","2023","81","12","3.2",NULL,"284"
378,"Home Alone 3","1997","102","PG","4.6",NULL,"124,035"
379,"Good Burger 2","2023","90","TV-PG","5.4","48","2,209"
380,"Death on the Nile","2022","127","12A","6.3","52","179,472"
381,"Raiders of the Lost Ark","1981","115","A","8.4","86","1,021,005"
382,"The Gentlemen","2019","113","18","7.8","51","377,107"
383,"Pearl","2022","103","15","7.0","76","82,502"
384,"Please Don't Destroy: The Treasure of Foggy Mountain","2023","92","15","6.1","49","4,041"
385,"Kingdom of the Planet of the Apes","2024","N/A",NULL,NULL,NULL,"N/A"
386,"Django Unchained","2012","165","18","8.5","81","1,655,646"
387,"Naga","2023","111","15","4.9",NULL,"3,673"
388,"Mission Raniganj","2023","134","12A","7.4",NULL,"14,495"
389,"Lucy","2014","89","15","6.4","62","524,854"
390,"Bad Santa","2003","92","15","7.1","70","151,394"
391,"Whiplash","2014","106","15","8.5","89","950,889"
392,"The Flash","2023","144","12A","6.7","55","189,800"
393,"Midsommar","2019","148","18","7.1","72","381,182"
394,"Once Upon a Time... in Hollywood","2019","161","18","7.6","83","813,414"
395,"American Fiction","2023","117","R","7.8","80","886"
396,"Uncharted","2022","116","12A","6.3","45","245,579"
397,"Elemental","2023","101","PG","7.0","58","101,553"
398,"Eyes Wide Shut","1999","159","18","7.5","69","366,131"
399,"Fast X","2023","141","12A","5.8","56","104,694"
400,"Fallen Leaves","2023","81","12A","7.6","87","5,005"
401,"The Hunger Games: Mockingjay - Part 2","2015","137","12A","6.5","65","360,453"
402,"The Muppet Christmas Carol","1992","85","U","7.8","64","66,467"
403,"The Three Musketeers: D'Artagnan","2023","121","15","6.7","78","14,798"
404,"All of Us Strangers","2023","105","R",NULL,"91","N/A"
405,"The Menu","2022","107","15","7.2","71","364,597"
406,"The Nightmare Before Christmas","1993","76","PG","7.9","82","367,811"
407,"Jack Frost","1998","101","PG","5.4","40","39,689"
408,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","143","PG","6.9","75","419,529"
409,"The Christmas Chronicles","2018","104","PG","7.0","52","80,423"
410,"Expend4bles","2023","103","15","4.8","30","26,863"
411,"Triangle of Sadness","2022","147","15","7.3","63","162,345"
412,"GoodFellas","1990","145","18","8.7","92","1,229,572"
413,"Thank You for Coming","2023","119","15","4.9","68","7,659"
414,"Silver and the Book of Dreams","2023","92",NULL,"5.5",NULL,"702"
415,"The Northman","2022","137","15","7.0","82","241,709"
416,"Requiem for a Dream","2000","102","18","8.3","71","883,106"
417,"Transformers: Rise of the Beasts","2023","127","12A","6.1","42","90,542"
418,"Parasite","2019","132","15","8.5","96","909,367"
419,"Kingdom of Heaven","2005","144","15","7.2","63","307,095"
420,"The Covenant","2023","123","15","7.5","63","143,160"
421,"Merry Little Batman","2023","92","PG","6.4",NULL,"1,032"
422,"American Pie","1999","95","15","7.0","58","426,801"
423,"American Psycho","2000","102","18","7.6","64","689,245"
424,"Miracle on 34th Street","1947","96","U","7.9","88","52,639"
425,"Leon","1994","110","18","8.5","64","1,221,191"
426,"Sing 2","2021","110","U","7.4","49","81,879"
427,"Spider-Man: No Way Home","2021","148","12A","8.2","71","847,926"
428,"There Will Be Blood","2007","158","12A","8.2","93","628,318"
429,"The Hunger Games: Mockingjay - Part 1","2014","123","12A","6.6","64","489,641"
430,"Joker","2019","122","15","8.4","59","1,428,912"
431,"Journey to Bethlehem","2023","99","PG","6.3",NULL,"1,018"
432,"Seven","1995","127","18","8.6","65","1,756,094"
433,"Bullet Train","2022","127","15","7.3","49","396,902"
434,"Avengers: Endgame","2019","181","12A","8.4","78","1,231,713"
435,"Wifelike","2022","105","15","4.9",NULL,"3,603"
436,"Harry Potter and the Goblet of Fire","2005","157","12A","7.7","81","666,036"
437,"Don't Worry Darling","2022","123","15","6.3","48","134,845"
438,"The Whale","2022","117","15","7.7","60","191,961"
439,"The Matrix","1999","136","15","8.7","73","2,011,057"
440,"Dashing Through the Snow","2023","92","PG","5.5",NULL,"2,214"
441,"Mean Girls","2004","97","12A","7.1","66","417,196"
442,"Heat","1995","170","15","8.3","76","702,089"
