"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
311,"Nowhere","Drama","2023","109","15","6.3",NULL,"28,191"
312,"Race for Glory: Audi vs. Lancia","Biography","2024","N/A",NULL,NULL,NULL,"N/A"
313,"Murder on the Orient Express","Crime","2017","114","12A","6.5","52","284,909"
314,"Alien: Covenant","Horror","2017","122","15","6.4","65","298,134"
315,"A Serbian Film","Horror","2010","104","18","5.0",NULL,"69,881"
316,"Alien: Romulus","Horror","2024","N/A",NULL,NULL,NULL,"N/A"
317,"Elvis","Biography","2022","159","12A","7.3","64","220,884"
318,"Are You There God? It's Me, Margaret.","Comedy","2023","106","PG","7.3","84","18,948"
319,"Love Story","Drama","1970","100","AA","6.9","84","36,613"
320,"Theater Camp","Comedy","2023","92","12A","7.0","70","11,688"
321,"The Princess Bride","Adventure","1987","98","PG","8.0","78","444,317"
322,"Aliens","Action","1986","137","R","8.4","84","750,096"
323,"Holidate","Comedy","2020","104","15","6.1","44","75,873"
324,"Totally Killer","Comedy","2023","106","15","6.5","62","41,072"
325,"Pride & Prejudice","Drama","2005","129","U","7.8","82","321,456"
326,"Prisoners","Crime","2013","153","15","8.1","70","783,379"
327,"The Exorcist","Horror","1973","122","X","8.1","82","446,138"
328,"Wind River","Crime","2017","107","15","7.7","73","273,318"
329,"The Lord of the Rings: The Return of the King","Action","2003","201","12A","9.0","94","1,937,214"
330,"Your Christmas or Mine?","Comedy","2022","95","12","6.4",NULL,"7,975"
331,"The Bikeriders","Crime","2023","116","R","7.6","71","967"
332,"What Happens Later","Comedy","2023","103","15","5.0","65","1,371"
333,"Greater","Biography","2016","130","PG","7.3","35","7,484"
